 Name               Version   License
 Pillow             9.0.1     Historical Permission Notice and Disclaimer (HPND)
 PyYAML             6.0       MIT License
 concrete-compiler  0.3.1     BSD-3
 cycler             0.11.0    BSD License
 fonttools          4.29.1    MIT License
 kiwisolver         1.3.2     BSD License
 loguru             0.5.3     MIT License
 matplotlib         3.5.1     Python Software Foundation License
 networkx           2.6.3     BSD License
 numpy              1.22.2    BSD License
 packaging          21.3      Apache Software License; BSD License
 pygraphviz         1.9       BSD License
 pyparsing          3.0.7     MIT License
 python-dateutil    2.8.2     Apache Software License; BSD License
 setuptools-scm     6.4.2     MIT License
 six                1.16.0    MIT License
 tomli              1.2.3     MIT License
 torch              1.10.2    BSD License
 typing-extensions  4.1.1     Python Software Foundation License
